id,track_name,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
63dMNGUUu7rXX0NZYVO3Tm,Time - Alan Walker Remix,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.575,0.941,7,-7.908,1,0.0581,0.0872,0.736,0.146,0.0387,127.967,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
0zqBZqm5czQ3A4EoSdKFHj,Man On The Moon,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.668,0.816,4,-5.648,0,0.0367,0.0557,1.02E-06,0.197,0.5,129.971,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
28VbwtsYnj85UEODGpQRem,"Alone, Pt. II",World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.673,0.659,3,-4.493,0,0.0439,0.539,0.00E+00,0.129,0.628,88.011,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
2sVcG5mresyV79qpYr3M1C,Paradise,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.779,0.58,0,-6.168,0,0.0355,0.158,0,0.124,0.679,148.916,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1ez5ood0PsYP4Yi6KhYe7H,Out Of Love,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.677,0.723,4,-5.474,0,0.107,0.318,0.00E+00,0.232,0.366,150.11,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
3gktHyhUYSZmJAewFjxcoX,Red Nexus Rising - Interlude,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.389,0.629,9,-10.449,0,0.0356,0.127,9.44E-01,0.128,0.0985,59.925,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
6k1Q8mNcA2jFH0uv5B6g9G,Sorry,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.542,0.561,5,-7.029,0,0.0485,0.437,0.0704,0.135,0.183,175.998,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1Ph65gYzHdiNDs9yWh4ePY,Fake A Smile,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.427,0.541,0,-5.726,1,0.0362,0.21,0.00E+00,0.442,0.257,149.802,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
3BomnHfqKZCdPJC9bkGBjE,On My Way,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.522,0.697,1,-5.288,0,0.103,0.0291,0,0.319,0.235,169.775,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
5I9Qa1LfGcQGCIC32lh9Ka,World We Used To Know,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.48,0.692,11,-5.324,0,0.0582,0.176,0.00011,0.221,0.465,85.343,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
0VE9LJ2W1qhjNBfWQLuA5M,Drone Wars - Instrumental,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.426,0.879,6,-5.687,0,0.0422,0.00219,0.308,0.139,0.058,128.894,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
6GZaY8DSHOgllwQ28ok7Rs,Heading Home,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.73,0.772,10,-4.514,1,0.0348,0.0276,0,0.0707,0.0951,107.996,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1fohm4EDuPauFyFIKmTIUm,OK,World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0.522,0.551,8,-6.458,1,0.0309,0.0611,0,0.0958,0.186,90.006,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
