id,track_name,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
30jUl25F42P63dwvHXhxC5,The Tradition,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.594,0.258,9,-7.608,0,0.0279,0.785,0.0,0.111,0.245,77.445,26VFTg2z8YR0cCuwLzESi2,Halsey
6hkjX4h78zdZEliZtguYVB,Bells in Santa Fe,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.651,0.494,2,-8.267,1,0.0314,0.617,0.00521,0.387,0.392,149.993,26VFTg2z8YR0cCuwLzESi2,Halsey
4zWmOL1d3nYCVOBw3j7hst,Easier than Lying,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.502,0.858,1,-4.186,0,0.171,9.65e-05,0.456,0.121,0.358,181.991,26VFTg2z8YR0cCuwLzESi2,Halsey
697u6iOThAZBF8mx2MhPSU,Lilith,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.517,0.769,2,-7.664,0,0.339,0.0415,0.0,0.0661,0.468,83.909,26VFTg2z8YR0cCuwLzESi2,Halsey
12DbuEFUaTwqKlh6fpepdv,Girl is a Gun,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.638,0.869,6,-4.74,0,0.0387,0.00489,1.11e-05,0.157,0.718,149.99,26VFTg2z8YR0cCuwLzESi2,Halsey
1eSWb90rG8uVOxBZirX0l1,You asked for this,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.3,0.817,11,-4.98,0,0.0552,0.012,0.0,0.371,0.154,139.052,26VFTg2z8YR0cCuwLzESi2,Halsey
1rFyZV4VIaHywtIUAvY7cI,Darling,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.54,0.282,0,-9.681,1,0.0313,0.84,0.0,0.21,0.597,86.942,26VFTg2z8YR0cCuwLzESi2,Halsey
49ZIfH8OIU3kiCA9UVjA7P,1121,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.599,0.296,4,-7.521,0,0.0291,0.293,0.0,0.0939,0.125,121.953,26VFTg2z8YR0cCuwLzESi2,Halsey
4bIlpeiWcSV8a6mYlwBdB9,honey,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.469,0.852,9,-5.182,1,0.0582,0.00054,4.62e-05,0.0641,0.376,160.004,26VFTg2z8YR0cCuwLzESi2,Halsey
39kPpDXXH8vtfrUkJewkhQ,Whispers,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.622,0.367,6,-11.507,0,0.0559,0.546,0.0,0.0892,0.222,79.099,26VFTg2z8YR0cCuwLzESi2,Halsey
0tW41hxixVG9BHqYDNa0Go,"I am not a woman, I'm a god","If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.53,0.714,4,-6.806,1,0.0474,0.004,0.0228,0.0633,0.522,179.957,26VFTg2z8YR0cCuwLzESi2,Halsey
1eLN3KhZsAew3ptSIDjrfU,The Lighthouse,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.326,0.615,9,-6.255,0,0.0339,0.144,0.00049,0.272,0.289,121.124,26VFTg2z8YR0cCuwLzESi2,Halsey
2NEvO4GEwVsplVrsFdcuQd,Ya'aburnee,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.711,0.185,7,-13.513,1,0.042,0.739,7.62e-06,0.0932,0.218,131.941,26VFTg2z8YR0cCuwLzESi2,Halsey
12ZCF1YHZTtygHyl1h0wEe,Nightmare,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.607,0.622,9,-5.075,0,0.0756,0.0187,0.0,0.359,0.537,146.105,26VFTg2z8YR0cCuwLzESi2,Halsey
2JNL5Z3DNCzGT2IkYaZOlh,Nightmare - Reprise,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.615,0.642,9,-5.773,0,0.0389,0.00929,0.0149,0.0926,0.361,145.991,26VFTg2z8YR0cCuwLzESi2,Halsey
7h5CR4nRDXUwuTKw66T5Nx,People disappear here,"If I Can’t Have Love, I Want Power (Extended)",0yMLTRxwcDN5XHjP5w8jAH,0.603,0.504,6,-8.705,0,0.0332,0.0322,0.0155,0.105,0.214,145.952,26VFTg2z8YR0cCuwLzESi2,Halsey
0eesdcgAz6Iyq4TXIDjxqR,Without Me,Love And Power EP: Power,5QYHgIlsIgm1lmLWXUpaPS,0.752,0.488,6,-7.05,1,0.0705,0.293,9.2e-06,0.0936,0.533,136.07,26VFTg2z8YR0cCuwLzESi2,Halsey
6dLGvkp3BjtnsNLrRfjgVw,Whispers,Love And Power EP: Power,5QYHgIlsIgm1lmLWXUpaPS,0.58,0.382,6,-11.421,0,0.0799,0.558,1.19e-06,0.0962,0.217,79.11,26VFTg2z8YR0cCuwLzESi2,Halsey
3ycj4P1NIcx9DrA5NKKfu3,Lilith,Love And Power EP: Power,5QYHgIlsIgm1lmLWXUpaPS,0.691,0.772,2,-7.616,0,0.26,0.0413,0.0,0.0654,0.47,84.003,26VFTg2z8YR0cCuwLzESi2,Halsey
5Qz5SDSKCucnyeXSMmrZOE,The Lighthouse,Love And Power EP: Power,5QYHgIlsIgm1lmLWXUpaPS,0.324,0.614,9,-6.217,0,0.0338,0.137,0.000633,0.305,0.295,123.145,26VFTg2z8YR0cCuwLzESi2,Halsey
