id,track_name,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
3grVoZ10bm2jUGpo7BxpuF,DEAD RIGHT NOW,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.685,0.717,0,-6.456,0,0.0411,0.101,1.87e-05,0.266,0.549,127.963,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
1BMu5TWvalAGpi5jlhFEBb,THE ART OF REALIZATION,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.519,0.464,10,-18.957,0,0.56,0.905,0.0,0.448,0.287,109.744,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
6bpq1jGkVz66Q3LYeoXdjZ,SCOOP (feat. Doja Cat),MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
3JR2RztQcOjUQGQSybxDIO,ONE OF ME (feat. Elton John),MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.708,0.598,3,-4.969,0,0.0617,0.202,0.0,0.183,0.561,144.09,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
6th8IdY4lYeM0QlSQJhhkp,LOST IN THE CITADEL,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.768,0.764,0,-5.82,1,0.0295,0.0963,1.03e-05,0.114,0.472,92.965,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
7zQirOExB0VR8yWUOqYeio,DOLLA SIGN SLIME (feat. Megan Thee Stallion),MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,133.991,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
5S4PZ7AuYlYiVIVik3wHUf,TALES OF DOMINICA,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.742,0.734,8,-5.582,0,0.0407,0.629,0.00314,0.0834,0.541,114.952,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
6btdl1Vl6Ta5lUwUSOFW2H,SUN GOES DOWN,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.549,0.643,9,-6.808,1,0.0543,0.0792,1.21e-05,0.107,0.123,174.041,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
3e6ebtUCZ0tZL1J7wvM8Xi,VOID,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.609,0.438,6,-8.486,0,0.0311,0.626,0.00011,0.103,0.176,139.875,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
4vsJWPwWPS27gRM4oLjBNO,DONT WANT IT,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.549,0.7,4,-6.07,0,0.0392,0.12,0.0,0.133,0.212,82.604,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
6D3t4w54PgLNGQ48R7th7R,LIFE AFTER SALEM,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.392,0.579,0,-5.284,0,0.0354,0.0141,4.87e-05,0.101,0.253,143.664,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
6isTQfKXhNO3EyJd9mSxx8,AM I DREAMING (feat. Miley Cyrus),MONTERO,6pOiDiuDQqrmo5DbG0ZubR,0.629,0.445,3,-6.999,1,0.0258,0.77,2.92e-06,0.351,0.209,94.103,7jVv8c5Fj3E9VhNjxT4snq,lil nas x
