id,track_name,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
0fRfvwr9zufri1Oh7Ux8fF,Love You Like A Love Song,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.858,0.678,1,-3.87,0,0.0469,0.075,0.0,0.0741,0.926,117.009,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
2sKAKjhqF72HeGCOYfK7Sp,Come & Get It,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.552,0.783,7,-4.138,0,0.0504,0.00887,0.00026,0.0954,0.575,79.984,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
4n8jPTf8wgI99ryFmbnDPc,The Heart Wants What It Wants,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.617,0.792,7,-4.873,0,0.0379,0.0536,0.0,0.142,0.631,83.067,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
3SpDRvVYLuPsfyhB5bkpfF,Who Says,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.683,0.926,4,-2.914,1,0.046,0.0691,0.0,0.201,0.769,101.013,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
3E9EC2h4ddtvCBKqUjxmha,A Year Without Rain,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.629,0.802,2,-5.26,0,0.0465,0.0129,2.66e-05,0.0893,0.407,119.977,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0jW64ZqPKfdosRmzQUDr2n,More,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.559,0.903,4,-3.813,0,0.0657,0.00278,3.15e-06,0.367,0.709,136.093,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
5aIbWiwrsYYGoR7XQx67i7,Slow Down,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.721,0.82,1,-3.793,0,0.147,0.08,0.0,0.615,0.712,127.939,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
2PMB9WWqAVhYcbMMjbG1He,Naturally,"Love You Like A Love Song, Come & Get It, and More",3sWE3cTMtP9Cvl3aHusvyD,0.608,0.907,10,-5.396,0,0.0513,0.0165,1.28e-06,0.0546,0.879,132.626,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
5EBtY2shIV1vmY4bnvvV6T,Boyfriend,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.811,0.512,2,-6.38,1,0.173,0.216,0.0266,0.077,0.336,92.025,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
3RKywhObU25JLEypRY6HWx,Lose You To Love Me,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
33iba4j2ywXqTQNEpGbfra,Rare,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
3ZCBSFcZSRM9Z48ew28Zrf,Souvenir,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.841,0.479,0,-5.837,0,0.0376,0.207,1.16e-05,0.122,0.454,112.968,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
4sUWh0WAFyla5vjEYRrIGz,Look At Her Now,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.753,0.564,10,-7.908,0,0.252,0.114,0.0273,0.359,0.55,77.342,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
1z1ztKUrDr09ZSMDnN3QIG,She,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.783,0.695,2,-6.686,0,0.0481,0.277,1.6e-05,0.0672,0.723,101.969,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
6VKmaZrS8jnbfWXEk3aiUw,Crowded Room (feat. 6LACK),Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.724,0.415,7,-8.408,0,0.0518,0.764,2.51e-06,0.103,0.328,89.999,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
2zxSwkWX6VX72dzT7EVa9s,Vulnerable,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.695,0.573,10,-8.882,1,0.167,0.132,0.000137,0.156,0.38,100.031,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
5tJVdHErWeof8gCXJCtDDk,Dance Again,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.784,0.552,1,-7.261,0,0.0871,0.0447,0.0,0.192,0.465,111.984,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
36Hgj5atzs02g05HAYCg1m,Ring,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.873,0.51,3,-5.35,0,0.0661,0.565,3.13e-06,0.0738,0.871,110.953,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
1z6CcHAbPpw2R23jDJmW1T,A Sweeter Place (feat. Kid Cudi),Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.583,0.777,10,-6.991,0,0.185,0.109,0.000509,0.108,0.31,190.054,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
5UqZDGclEuq7g3sgUFad0J,People You Know,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.695,0.62,8,-8.082,0,0.0521,0.0881,5.43e-05,0.111,0.62,150.032,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0he909ZlMUk631mzXeSgq4,Cut You Off,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.855,0.293,5,-8.676,1,0.286,0.3,9.19e-05,0.091,0.841,139.745,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
35KIxWjS8oMkAYG3K7RegO,Let Me Get Me,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.826,0.571,2,-9.263,1,0.0426,0.249,1.66e-05,0.215,0.475,121.06,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
7tU2wWq28P5ytOZ9diWnMy,Kinda Crazy,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.691,0.446,11,-10.304,0,0.0472,0.484,0.00495,0.183,0.534,93.034,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0MC9g3xUfrHQBmTbXsjkU7,Fun,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.863,0.419,11,-10.144,0,0.437,0.076,4.92e-05,0.151,0.523,113.869,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
4mt7C6wYeTUWDDk7xKym9w,Feel Me,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z,0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.392,99.989,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
36bQgs0OGLIuKU8DopHLEp,Revival,Revival,5ngFWcqWAIO19chggDAmbX,0.684,0.732,1,-4.966,0,0.0862,0.128,0.0,0.184,0.527,124.888,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0CAqjP3ehvTPj3ihqfOnqZ,Kill Em With Kindness,Revival,5ngFWcqWAIO19chggDAmbX,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
5fhdwIMFcNz0nSzPHtouVI,Hands To Myself,Revival,5ngFWcqWAIO19chggDAmbX,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
62TioIhlUPxPGPK6v9HGiq,Same Old Love,Revival,5ngFWcqWAIO19chggDAmbX,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
39a3rPbOTUyBNkvF1uFuvO,Sober,Revival,5ngFWcqWAIO19chggDAmbX,0.573,0.741,9,-3.22,1,0.0788,0.171,0.0,0.104,0.526,92.021,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0QY4oJtQMu1oHvudlBGlLV,Good For You,Revival,5ngFWcqWAIO19chggDAmbX,0.607,0.673,5,-6.484,0,0.0611,0.181,0.0,0.069,0.215,88.952,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
2pnCHn2mNH16vBfWA7lRQL,Camouflage,Revival,5ngFWcqWAIO19chggDAmbX,0.375,0.408,7,-7.163,1,0.0331,0.623,0.0,0.123,0.165,126.712,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
3MLgdeitbfcirjwxLGkxnd,Me & The Rhythm,Revival,5ngFWcqWAIO19chggDAmbX,0.711,0.736,7,-5.959,1,0.104,0.00315,0.000637,0.0731,0.717,106.01,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
6xvHmbe1S3eUijx948OsAV,Survivors,Revival,5ngFWcqWAIO19chggDAmbX,0.684,0.867,10,-5.26,0,0.053,0.0207,0.00355,0.0733,0.245,109.972,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0q2BQZ75ZJlFFHtPzegth5,Body Heat,Revival,5ngFWcqWAIO19chggDAmbX,0.74,0.974,1,-3.585,1,0.0903,0.189,0.0,0.0849,0.766,120.041,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
