id,track_name,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
17F42NFoEblTEegy6UwN0t,Santa's Coming for Us,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.668,0.857,1,-4.485,1,0.0994,0.0202,0.0,0.047,0.718,93.01,5WUlDfRSoLAfcVSX1WnrxN,Sia
67G2ywvMPSTmbjf14f5leJ,Candy Cane Lane,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.591,0.909,1,-4.234,0,0.0618,0.00408,2.49e-05,0.0848,0.387,130.012,5WUlDfRSoLAfcVSX1WnrxN,Sia
1tExDPaMPjDhVGJaVOWGBx,Snowman,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.717,0.524,1,-6.222,1,0.0331,0.426,0.0,0.0932,0.339,104.953,5WUlDfRSoLAfcVSX1WnrxN,Sia
0zroGepO6oOkdhF7UmOiDL,Snowflake,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.598,0.354,3,-8.568,1,0.0298,0.444,0.0,0.0992,0.183,134.157,5WUlDfRSoLAfcVSX1WnrxN,Sia
2amh2rD9mmMJWYzQxHLRru,Ho Ho Ho,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.713,0.734,0,-5.111,1,0.0407,0.0271,0.0,0.117,0.844,129.04,5WUlDfRSoLAfcVSX1WnrxN,Sia
1ISjkzEuOLsyr4hfs6FwXl,Puppies Are Forever,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.458,0.943,11,-3.565,1,0.136,0.0255,0.0,0.176,0.665,169.904,5WUlDfRSoLAfcVSX1WnrxN,Sia
7041Z7vlPDd3mvyPisW3hk,Sunshine,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.625,0.849,6,-3.974,0,0.035,0.0932,0.0,0.064,0.604,118.009,5WUlDfRSoLAfcVSX1WnrxN,Sia
0kQAKO3cTTCUs9JgBGzoii,Underneath the Mistletoe,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.606,0.677,5,-5.571,1,0.0314,0.00973,0.0,0.114,0.496,123.932,5WUlDfRSoLAfcVSX1WnrxN,Sia
7LrG2iIuhwVlbE4W9IJm10,Everyday Is Christmas,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.555,0.521,0,-6.212,0,0.0289,0.0338,9.06e-06,0.103,0.201,148.081,5WUlDfRSoLAfcVSX1WnrxN,Sia
5Lri0MppXa3yk8oRqYOTf1,Underneath the Christmas Lights,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.359,0.172,5,-9.88,1,0.0375,0.98,1.43e-05,0.104,0.164,110.522,5WUlDfRSoLAfcVSX1WnrxN,Sia
5MF9D28NMYliOa7AWX8BK6,Round and Round,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.792,0.91,11,-3.106,1,0.0764,0.051,0.00398,0.0705,0.963,119.977,5WUlDfRSoLAfcVSX1WnrxN,Sia
6DuKK7gCyYCCerdlJctJPz,Sing for My Life,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.548,0.502,5,-5.455,1,0.0291,0.53,1.39e-06,0.215,0.169,124.121,5WUlDfRSoLAfcVSX1WnrxN,Sia
5CG9kQdpbCLffnoxwOR7Dy,My Old Santa Claus,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.624,0.879,9,-4.143,1,0.139,0.0167,0.0,0.0754,0.722,122.018,5WUlDfRSoLAfcVSX1WnrxN,Sia
47ZOiqH4Dq83mZP9WMk8nj,Pin Drop,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.381,0.418,0,-5.63,1,0.0347,0.544,0.000349,0.352,0.0868,123.359,5WUlDfRSoLAfcVSX1WnrxN,Sia
2cN0S4DrXpedsiovTLYJMz,Santa Visits Everyone,Everyday Is Christmas (Snowman Deluxe Edition),0ksZoEgWVdI2Tw6vtsc79a,0.514,0.887,6,-3.791,1,0.0577,0.0402,0.000143,0.258,0.492,141.936,5WUlDfRSoLAfcVSX1WnrxN,Sia
